;;powiat bolesławiecki;powiat dzierżoniowski;powiat głogowski;powiat górowski;powiat jaworski;powiat jeleniogórski;powiat kamiennogórski;powiat kłodzki;powiat legnicki;powiat lubański;powiat lubiński;powiat lwówecki;powiat milicki;powiat oleśnicki;powiat oławski;powiat polkowicki;powiat strzeliński;powiat średzki;powiat świdnicki;powiat trzebnicki;powiat wałbrzyski;powiat wołowski;powiat wrocławski;powiat ząbkowicki;powiat zgorzelecki;powiat złotoryjski;powiat Jelenia Góra;powiat Legnica;powiat Wrocław;powiat Wałbrzych;powiat aleksandrowski;powiat brodnicki;powiat bydgoski;powiat chełmiński;powiat golubsko-dobrzyński;powiat grudziądzki;powiat inowrocławski;powiat lipnowski;powiat mogileński;powiat nakielski;powiat radziejowski;powiat rypiński;powiat sępoleński;powiat świecki;powiat toruński;powiat tucholski;powiat wąbrzeski;powiat włocławski;powiat żniński;powiat Bydgoszcz;powiat Grudziądz;powiat Toruń;powiat Włocławek;powiat bialski;powiat biłgorajski;powiat chełmski;powiat hrubieszowski;powiat janowski;powiat krasnostawski;powiat kraśnicki;powiat lubartowski;powiat lubelski;powiat łęczyński;powiat łukowski;powiat opolski;powiat parczewski;powiat puławski;powiat radzyński;powiat rycki;powiat świdnicki;powiat tomaszowski;powiat włodawski;powiat zamojski;powiat Biała Podlaska;powiat Chełm;powiat Lublin;powiat Zamość;powiat gorzowski;powiat krośnieński;powiat międzyrzecki;powiat nowosolski;powiat słubicki;powiat strzelecko-drezdenecki;powiat sulęciński;powiat świebodziński;powiat zielonogórski;powiat żagański;powiat żarski;powiat wschowski;powiat Gorzów Wielkopolski;powiat Zielona Góra;powiat bełchatowski;powiat kutnowski;powiat łaski;powiat łęczycki;powiat łowicki;powiat łódzki wschodni;powiat opoczyński;powiat pabianicki;powiat pajęczański;powiat piotrkowski;powiat poddębicki;powiat radomszczański;powiat rawski;powiat sieradzki;powiat skierniewicki;powiat tomaszowski;powiat wieluński;powiat wieruszowski;powiat zduńskowolski;powiat zgierski;powiat brzeziński;powiat Łódź;powiat Piotrków Trybunalski;powiat Skierniewice;powiat bocheński;powiat brzeski;powiat chrzanowski;powiat dąbrowski;powiat gorlicki;powiat krakowski;powiat limanowski;powiat miechowski;powiat myślenicki;powiat nowosądecki;powiat nowotarski;powiat olkuski;powiat oświęcimski;powiat proszowicki;powiat suski;powiat tarnowski;powiat tatrzański;powiat wadowicki;powiat wielicki;powiat Kraków;powiat Nowy Sącz;powiat Tarnów;powiat białobrzeski;powiat ciechanowski;powiat garwoliński;powiat gostyniński;powiat grodziski;powiat grójecki;powiat kozienicki;powiat legionowski;powiat lipski;powiat łosicki;powiat makowski;powiat miński;powiat mławski;powiat nowodworski;powiat ostrołęcki;powiat ostrowski;powiat otwocki;powiat piaseczyński;powiat płocki;powiat płoński;powiat pruszkowski;powiat przasnyski;powiat przysuski;powiat pułtuski;powiat radomski;powiat siedlecki;powiat sierpecki;powiat sochaczewski;powiat sokołowski;powiat szydłowiecki;powiat warszawski zachodni;powiat węgrowski;powiat wołomiński;powiat wyszkowski;powiat zwoleński;powiat żuromiński;powiat żyrardowski;powiat Ostrołęka;powiat Płock;powiat Radom;powiat Siedlce;powiat Warszawa;powiat brzeski;powiat głubczycki;powiat kędzierzyńsko-kozielski;powiat kluczborski;powiat krapkowicki;powiat namysłowski;powiat nyski;powiat oleski;powiat opolski;powiat prudnicki;powiat strzelecki;powiat Opole;powiat bieszczadzki;powiat brzozowski;powiat dębicki;powiat jarosławski;powiat jasielski;powiat kolbuszowski;powiat krośnieński;powiat leżajski;powiat lubaczowski;powiat łańcucki;powiat mielecki;powiat niżański;powiat przemyski;powiat przeworski;powiat ropczycko-sędziszowski;powiat rzeszowski;powiat sanocki;powiat stalowowolski;powiat strzyżowski;powiat tarnobrzeski;powiat leski;powiat Krosno;powiat Przemyśl;powiat Rzeszów;powiat Tarnobrzeg;powiat augustowski;powiat białostocki;powiat bielski;powiat grajewski;powiat hajnowski;powiat kolneński;powiat łomżyński;powiat moniecki;powiat sejneński;powiat siemiatycki;powiat sokólski;powiat suwalski;powiat wysokomazowiecki;powiat zambrowski;powiat Białystok;powiat Łomża;powiat Suwałki;powiat bytowski;powiat chojnicki;powiat człuchowski;powiat gdański;powiat kartuski;powiat kościerski;powiat kwidzyński;powiat lęborski;powiat malborski;powiat nowodworski;powiat pucki;powiat słupski;powiat starogardzki;powiat tczewski;powiat wejherowski;powiat sztumski;powiat Gdańsk;powiat Gdynia;powiat Słupsk;powiat Sopot;powiat będziński;powiat bielski;powiat cieszyński;powiat częstochowski;powiat gliwicki;powiat kłobucki;powiat lubliniecki;powiat mikołowski;powiat myszkowski;powiat pszczyński;powiat raciborski;powiat rybnicki;powiat tarnogórski;powiat bieruńsko-lędziński;powiat wodzisławski;powiat zawierciański;powiat żywiecki;powiat Bielsko-Biała;powiat Bytom;powiat Chorzów;powiat Częstochowa;powiat Dąbrowa Górnicza;powiat Gliwice;powiat Jastrzębie-Zdrój;powiat Jaworzno;powiat Katowice;powiat Mysłowice;powiat Piekary Śląskie;powiat Ruda Śląska;powiat Rybnik;powiat Siemianowice Śląskie;powiat Sosnowiec;powiat Świętochłowice;powiat Tychy;powiat Zabrze;powiat Żory;powiat buski;powiat jędrzejowski;powiat kazimierski;powiat kielecki;powiat konecki;powiat opatowski;powiat ostrowiecki;powiat pińczowski;powiat sandomierski;powiat skarżyski;powiat starachowicki;powiat staszowski;powiat włoszczowski;powiat Kielce;powiat bartoszycki;powiat braniewski;powiat działdowski;powiat elbląski;powiat ełcki;powiat giżycki;powiat iławski;powiat kętrzyński;powiat lidzbarski;powiat mrągowski;powiat nidzicki;powiat nowomiejski;powiat olecki;powiat olsztyński;powiat ostródzki;powiat piski;powiat szczycieński;powiat gołdapski;powiat węgorzewski;powiat Elbląg;powiat Olsztyn;powiat chodzieski;powiat czarnkowsko-trzcianecki;powiat gnieźnieński;powiat gostyński;powiat grodziski;powiat jarociński;powiat kaliski;powiat kępiński;powiat kolski;powiat koniński;powiat kościański;powiat krotoszyński;powiat leszczyński;powiat międzychodzki;powiat nowotomyski;powiat obornicki;powiat ostrowski;powiat ostrzeszowski;powiat pilski;powiat pleszewski;powiat poznański;powiat rawicki;powiat słupecki;powiat szamotulski;powiat średzki;powiat śremski;powiat turecki;powiat wągrowiecki;powiat wolsztyński;powiat wrzesiński;powiat złotowski;powiat Kalisz;powiat Konin;powiat Leszno;powiat Poznań;powiat białogardzki;powiat choszczeński;powiat drawski;powiat goleniowski;powiat gryficki;powiat gryfiński;powiat kamieński;powiat kołobrzeski;powiat koszaliński;powiat myśliborski;powiat policki;powiat pyrzycki;powiat sławieński;powiat stargardzki;powiat szczecinecki;powiat świdwiński;powiat wałecki;powiat łobeski;powiat Koszalin;powiat Szczecin;powiat Świnoujście
powiat Łódź;1061;52;;;;;;;;;;;;;;;;;;;;;;;;;;;10;71;;;;;;;;;;;;;;;;;;;42;;24;;19;30;;;;;;;;18;24;;;;;;;;;;;;;;32;;;;19;;;;;;;;;;;;1113;1104;1451;1070;1602;5558;929;5725;303;2142;1167;671;681;1388;1125;1913;476;307;1348;9397;1442;396050;1301;717;;;;;;;;;;;;;;;;;;;;72;;;;;;108;26;;;11;;;;;;;;;;18;10;;14;;11;;25;;;19;;;;26;13;;;;35;;30;26;;313;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;13;;12;;;14;16;10;;;;;;;;;;34;;160;41;;11;19;21;13;56;;;;;10;;;;;;;48;;37;16;15;60;30;10;;16;47;13;;18;10;11;66;;16;16;;;10;;;26;;;;;;;;;27;;;;;;;;;;;;;;;;;;;;14;31;;;;;;;;;36;;;;;;12;;11;;;;53;;;;;;28;;;;44;31;14;;154;;;;;;;;;;;;;;;;;;;;19;
powiat Piotrków Trybunalski;1062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;347;;17;;;37;239;25;;5263;;165;11;;;209;;;13;;;174;40675;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Skierniewice;1063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;453;10;;;;;;;91;;1323;;;;;;52;45;;25876;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128;;;;;54;;;;;;;11;;;;;;;;;;;;;;;12;14;;;;;29;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;17;;;11;15;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;11;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;
powiat bocheński;1201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53858;664;;;;;46;;26;;13;;;;;61;;;319;273;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat brzeski;1202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;478;50838;;;;;;;;28;;;;;;326;;;;110;10;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat chrzanowski;1203;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60857;;;440;;;;;;157;485;;;;;13;14;215;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;50;;76;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;12;;;;12;;;;;;;;;13;;31;11;;;450;48;21;;15;;;49;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat dąbrowski;1204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34025;;;;;;;;;;;;181;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat gorlicki;1205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;58683;;27;31;;205;;;;27;;251;;24;20;16;33;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat krakowski;1206;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;20;;;94;14;759;;12;135815;58;182;852;23;27;289;136;174;142;12;;1796;685;8030;24;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;;;;;;;40;;;;;;;;10;11;;;;;;;12;;;;;;;;;;;15;;38;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;23;15;16;;89;36;;;;10;;19;;11;12;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;12;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
powiat limanowski;1207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;71487;;121;184;39;;;;;;;;11;57;98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;12;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;171;46;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat miechowski;1208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;25521;;;;49;;;;;;;;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat myślenicki;1209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;25;;;214;142;;64956;;26;10;108;;98;;;244;529;748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat nowosądecki;1210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;276;;442;;;112332;52;;;;;;;;;58;2513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat nowotarski;1211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;363;;283;102;109954;;;;306;;499;10;;100;24;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat olkuski;1212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;;;563;;626;;;;54804;;;;;;;;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;;;;288;;;;;;133;;;40;;;;;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;11;;;;;;;;;;;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat oświęcimski;1213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;13;;;;;2417;;;64;;;;;;10;70483;;21;;;1294;;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1006;;;;;;;;108;;;;71;;;101;131;;;;;;;181;24;12;;;;;18;;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat proszowicki;1214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;314;;87;;;;;;23526;;;;;60;287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat suski;1215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;35;;114;;76;;12;;43717;;;208;;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat tarnowski;1216;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28;211;;410;57;;;;;;;;;;;106420;;;;17;;2031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;136;;33;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat tatrzański;1217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1282;;;;;;39353;;;51;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wadowicki;1218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;52;11;;;138;;;135;10;;;971;;292;;;76380;;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;45;;;;;;;10;;;205;;21;;;;11;;;;;;;;;22;79;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wielicki;1219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;971;32;;;;509;25;;372;16;;13;11;132;;;;16;59783;2958;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Kraków;1261;;24;16;;;;;;10;23;11;;;29;69;;42;;11;38;;;92;14;36;;;38;223;30;;;;;;;13;;;;;;;;;;;31;;47;18;21;11;;;10;;;;;18;20;;;;;29;;25;15;;;20;;;88;23;;;20;;;;;;;;29;;;43;23;;15;;29;10;64;41;;29;;14;;11;;10;181;;11;40;;167;40;16;3604;1635;3029;570;981;21088;1449;1817;4985;2105;1367;2928;2427;2034;1199;2536;356;2920;9365;449580;293;838;;;;;11;12;;49;14;;26;17;;15;;;14;44;;;60;;;;;;;;;;37;;83;;;;;;;53;12;471;69;;13;;;;47;10;;;;31;;36;288;123;227;;209;26;12;31;142;;161;90;80;100;29;43;23;14;;62;53;138;43;;10;;;;;;;;;;;;;57;;;;;;81;12;;;;;;67;;10;21;81;;124;150;;16;189;199;93;380;166;59;;58;81;123;17;34;97;39;14;245;158;115;161;96;148;144;136;66;183;278;103;48;157;88;93;303;105;88;191;31;65;390;426;138;10;;24;75;34;87;78;50;;104;;;;;;;;;;;;;;12;;;;;;11;24;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;11;79;;;;;;10;;;;;;;;12;;;;;;49;
powiat Nowy Sącz;1262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;61;;;410;;772;;11;10120;243;;;;134;119;11;32;;99;48417;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Tarnów;1263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;11;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;742;;941;150;139;20;;26;157;13;;11;;;11674;;;144;114;19;63158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;47;;;;;;;;;;;21;606;42;84;;13;;;16;31;;14;;;50;12;;10;;;14;;21;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
